Categories,new_text
价格,属于物美价廉的那种，
气味,味道闻着不错，
包装,这款包装比较好携带
整体,还不错的样子，
物流,**物流超快服务到家，
成分,精华也很多，
整体,挺好用的不错，
使用体验,没想到那么辣眼睛，
使用体验,卸妆水好清爽不刺激，
气味,就是刚开始的味道不喜欢
使用体验,气味甜美，
功效,很自然，
功效,特别滋润和美白，
功效,就是这个色号比我稍微暗一点，
使用体验,用了不会过敏，
功效,掉妆比较慢持妆效果不错
包装,包装也不好，
整体,很好喜欢
整体,很适合我的皮肤使用感觉到不错，
气味,没有异味，
功效,清洁能力：感觉还行，
使用体验,挺好吸收的，
使用体验,昨天收到类今天早上用了一下特别湿润
其他,份量还蛮多的，
其他,质量还不错，
物流,很快收到不错！
整体,面膜挺好的，
气味,希望味道别太香
使用体验,干死了。
使用体验,吸收情况：吸收挺好的 
功效,收到货了物流特别快隔离特别好
功效,用了白白的，
使用体验,细腻不油腻 
功效,都卸不掉，
价格,很划算。
使用体验,挺薄的，
整体,品质一如既往的好，
使用体验,很清爽，
物流,快递师傅态度也很多，
整体,一直用挺不错
气味,有两个替换装味道香，
整体,非常好用的一款，
价格,价格实惠基础补水护肤很适合，
整体,质量不错！
使用体验,吸收挺好的，
整体,感觉很好，
功效,遮瑕不适合，
价格,价格不贵！
气味,味道清凉不油腻，
包装,包装也非常好 
使用体验,很好推开，
使用体验,很轻薄。
使用体验,清爽度：一直在用，
功效,补水效果非常不错！
功效,遮瑕效果挺好，
整体,试了一下感觉不错哦。
整体,这个蛮好用的，
气味,味道也是很不错，
价格,还送了赠品，
整体,东西很一般
价格,赠品很多，
整体,用着一般般
使用体验,没有过敏不适的反应
整体,看着还挺多的头天晚上买的第二天就到了就差明天使用效果了
价格,赠品很好，
服务,开票也快！
使用体验,至少不起干皮。
物流,物流也快！
使用体验,不好用。
整体,感觉还可以
物流,快递小哥直接送货到家
物流,物流给了，
使用体验,贴装，
整体,反馈效果说很不错
整体,真的挺好的，
整体,很不错
整体,很喜欢的，
整体,品质很好。
整体,非常非常好用啊 
使用体验,湿润
整体,效果挺好的，
包装,送货速度快包装很好
整体,面膜不错很好！
整体,看着还可以，
功效,而且白的自然，
整体,只有这款卸妆水很好用，
功效,没有介绍的那么遮盖红血丝，
气味,个人比较喜欢这个味道，
整体,很满意！
整体,隔离还是挺好用的，
功效,不是那么白，
整体,可以香味也可以
整体,非常差，
整体,个不错的，
物流,快递真的快
价格,跟我在柜台买的一样但是比柜台要便宜很多，
使用体验,清爽！
整体,她很喜欢
价格,网上便宜很多
使用体验,只是洗完脸稍微有点干。
物流,支持**送货迅速！
整体,很好媳妇很满意
功效,很自然显肤色
整体,面膜挺好的
价格,价格不贵，
功效,这款面膜保湿效果真的不错哦！
包装,这包装也太&hellip
使用体验,用起来很水润不浮粉 
整体,不好用，
使用体验,所以用了觉得会起脂肪粒，
整体,非常喜欢喜欢，
价格,你这挺好用的还挺实惠，
整体,可以 
物流,快递小哥一如即往的好服务，
整体,好像还可以
功效,也不是那种特别厚重的百，
包装,只是这包装，
成分,面膜精华多
包装,包装太次。
使用体验,用着辣脸啊，
整体,我个人不太喜欢，
整体,很喜欢是我想要的
整体,不错跟外面买的一样的
价格,活动很划算，
物流,快递服务态度好。
物流,速度一如既往的快。
使用体验,挺好用的不油很清爽，
整体,可以的一直都是用***
其他,又方便！
整体,感觉还好。
整体,挺适合自己的。
整体,不太好不太好，
其他,量比大
整体,感觉还行 
使用体验,吸收还好
服务,特别不愉快。
功效,保湿效果棒棒哒，
价格,划算！
整体,我很喜欢这款牙膏、用的时候也方便
整体,不好用 
功效,补水不错！
整体,很好用。
使用体验,但是我买回来用了以后觉得有些卡粉，
其他,里面的东西好少，
整体,赞！
整体,宝贝物美价廉非常好虽然还没用，
物流,我觉得有点坑的不能改地址 
物流,**速度快。
成分,精华液也很多
价格,活动购买的，
使用体验,持久度也还行吧，
物流,补水**快递真的很快，
功效,日常补水没问题了 
整体,五分好评。
功效,擦在脸上不泛白，
整体,用的一直挺好的，
使用体验,清爽不刺激。
价格,活动特别合算
功效,上次买了一支清洗的很干净，
价格,价钱比平时要低得多，
整体,感觉还不错啊，
功效,保湿效果：挺可以。
整体,挺好用，
使用体验,很舒服
服务,服务态度员太差劲一点都不尊重别人
物流,快，
使用体验,很水嫩还会购买
功效,只是稍微有点提亮。
使用体验,洗完后会有点滑滑的，
物流,快
物流,包装好物流快给力
气味,好刺鼻啊，
功效,看起来也蛮自然的。
整体,挺不错的，
价格,刚好遇到活动价，
使用体验,大气上档次，
包装,水漏了一袋子
物流,物流配送非常快，
气味,味道也喜欢。
真伪,应该是正品吧，
功效,脸也显得有光泽，
整体,效果还不错，
真伪,应该是正品吧！
整体,真的好用，
整体,应该还不错的吧
整体,一贯好评，
使用体验,妆容超级服帖，
价格,虽然是赠品给的，
使用体验,挺温和的，
使用体验,色泽唯美，
功效,很自然的一款。
功效,确实很补水～
整体,好用实惠
使用体验,但用着有点油
其他,分量足，
整体,宝贝很好用，
整体,这款面膜很好用不油腻感觉也好
整体,产品非常好，
功效,遮暇功能差一些，
真伪,不错是正品，
功效,还是有点白。
使用体验,洗面奶泡沫不多，
其他,量多～～～能用好久～～～
使用体验,也不卡粉
使用体验,脸不油，
物流,发货速度非常快，
使用体验,用着不错，
功效,稍微白了一点点 
整体,商品很满意！
整体,我觉得比***的好用
整体,挺好。
使用体验,轻薄，
物流,**送货就是快！
使用体验,用完皮肤很润，
气味,闻着味道和专柜的差不多
整体,别的还好
功效,滋润及保湿：保湿感觉差一些，
价格,趁活动囤的 
整体,东西也不错，
整体,简直就是个垃圾，
整体,其他的都很好
整体,东西非常满意，
其他,量很足，
气味,就是有点香。
使用体验,用起来也特别服帖自然，
功效,用了以后感觉保湿效果还是很不错的，
使用体验,用着很舒服！
功效,白皙水嫩擦后脸上没有干粉。
物流,快递超快的，
功效,有保湿效果
使用体验,脸上比较滋润，
功效,已经用了补水效果不错，
整体,一如既往的喜欢这款，
物流,当天收到货了快递很给力。
使用体验,水水润润，
整体,太好用了，
物流,快递还没有收到，
价格,挺划算的，
功效,遮瑕效果好
价格,价格还可以，
使用体验,根本不好晕开 
整体,超喜欢的、用了很自然美美哒
整体,浪费钱，
服务,卖家好有爱，
功效,轻薄也很提肤色。
使用体验,滋润，
使用体验,就是有点油亮油亮的。
整体,还可以啦，
整体,总的来说还行吧！
功效,特别好用补水效果杠杠滴！
包装,很讨厌有一片面膜破了，
价格,实惠好用喜欢的
物流,包装完好时间也快
使用体验,易推开!而且价格也实惠!会回购的!
物流,发货很快呀。
整体,挺好的。
气味,味道也很好闻，
使用体验,用完不紧绷！
整体,还不错吧
整体,挺好的
使用体验,洗面奶挺温和的 
物流,**购物～～～方便～～～快～～～
整体,用着可以
真伪,~扫出来是正品。
使用体验,精华比较水润适合夏天使用，
气味,很喜欢味道也还好 
使用体验,不刺激皮肤 
使用体验,不油不粘，
整体,洗面奶不错，
功效,这款气垫遮暇效果还不错，
使用体验,滋润不干，
整体,很喜欢，
包装,但是外包装好像有拆了的痕迹，
使用体验,用后皮肤光光的
整体,很好用的一款隔离霜
使用体验,对我来说泡沫过于多了，
整体,这款乳液个人觉得挺好的，
整体,效果不错是正品！
价格,三八节搞活动，
使用体验,洗完脸不会很干！
使用体验,不过敏?
使用体验,个人觉得用后虽然没有紧绷感，
物流,物流速度有点慢，
物流,物流超快，
整体,润润的棒棒哒！
气味,味道很喜欢，
整体,东西收到了很好，
使用体验,容易吸收，
价格,毕竟价格合理
整体,其他的都还好
使用体验,清洁能力：泡沫很多，
整体,宝贝收到了很喜欢经济又实惠好评打赏
包装,好几百的东西包装好差像地滩货，
整体,强力推荐的面膜，
气味,味道很清新自然
价格,现在才发现在**买更方便而且价格便宜哦
使用体验,不油不腻
使用体验,洗了脸过敏，
整体,感觉还行哦！
功效,面膜轻薄补水。
使用体验,个人情况：东西很棒买了两只泡沫挺多的味道有点香推荐入手
整体,挺不错的 
使用体验,用了后脸部无紧绷感，
整体,不错哦?
整体,喜欢，
物流,快递员态度很好。
物流,物流快
使用体验,很水润
整体,效果非常好，
整体,一直使用***人鱼面膜挺好的。
功效,保湿效果一般
使用体验,面膜很服帖，
气味,还挺香的，
使用体验,用完皮肤滑滑的嫩嫩的
使用体验,用后有点清凉的感觉，
整体,看起来挺好的，
包装,粉扑设计的非常棒，
包装,就是包装太简便了吧，
真伪,希望是正品！
整体,我一直用这个很好
整体,点赞
价格,有赠品。
使用体验,清爽补水棒棒哒
真伪,感觉像假的，
价格,做活动买的很划来。
使用体验,有点黏
整体,商品好，
物流,快递师傅辛苦了啊。
使用体验,特别水润的哦～
整体,看起来不错的样子，
物流,到货速度很快，
物流,**快！
其他,我很喜欢这款牙膏、用的时候也方便
整体,整体描述：总体来说还不错！
气味,有点胶味
价格,卸妆还不错?赠品也是一样的还有卸妆棉?
整体,值得推荐好评
包装,外观看上去做工粗糙，
服务,还说都是保质期三四年呢客服态度敷衍了事
价格,不过这打五折也太便宜了吧
价格,实惠款
包装,快递和服务都好评
使用体验,不紧崩，
整体,不错?????????????????????????????
尺寸,面膜面积太小！
价格,价格优惠。
整体,不好，
包装,包装的很好，
使用体验,包装很大气用着很服帖 
功效,隔离效果不错
物流,面膜效果非常不错**发货也非常给力 
包装,就是包装也太差了吧，
物流,我要投诉快递员，
使用体验,用后皮肤滋润。
整体,很棒很服帖不会浮粉，
整体,看着包装和实体店的一样，
价格,发来了3盒很划算哦而且效果不错，
整体,一般般啦，
整体,太好了！
使用体验,洗完后真的一点也不紧绷，
使用体验,不过敏。
整体,使用了绿瓶好用，
功效,用着很细腻自然。
整体,真的是巨好用 
整体,赞赞赞赞赞！
整体,满意
整体,真心不错，
整体,先好评吧，
使用体验,这个用了主要是不过敏，
使用体验,温和的，
使用体验,擦上很服帖，
整体,很好用保湿效果不错
功效,泡沫不多但是清洁力跟强，
价格,赠品很好很实在
整体,质量不错?一直在**商城
包装,整体描述：包装很紧密 
功效,持久度四星，
使用体验,质地柔软均匀，
整体,看起来不错
功效,淡妆卸得干净，
价格,做活动的时候下手的，
使用体验,敷完吸收很快
物流,不错就是快就是快快快的
整体,这个隔离霜用着挺好的 
使用体验,质地柔软细腻，
气味,挺好闻的，
物流,发货速度快宝贝是正品，
整体,***产品挺不错的，
整体,还行吧
使用体验,很细腻白的不浮夸，
气味,气味甜美，
使用体验,洗完之后脸不紧绷，
功效,滋润及保湿：�保思个啦
整体,看着不错
整体,喜欢喜欢。
价格,心里觉得不爽。
物流,发货飞快，
功效,很接近肤色，
功效,每天一片效果还是不错的
价格,价格很实惠**很给力，
价格,又划算，
整体,很好的，
使用体验,敷完脸嫩嫩的，
整体,比预想的好很多，
使用体验,干净不紧绷。
包装,包装也太丑了。
功效,我觉得卸妆也挺好的，
使用体验,不卡粉，
功效,搞活动的时候买的挺便宜的用过后才来评价补水效果很好
整体,挺好用的..遮瑕效果也很好..
使用体验,第一次用起来感觉吸收不是很好，
其他,量挺多的。
包装,但是包装很喜欢呀
功效,很衬肤色，
