Polarities,text
正面,外观很喜欢
正面,特别实惠
负面,色号稍微暗一点
正面,没有干粉
正面,最喜欢
正面,吸收迅速
正面,挺小只
正面,贴合度很满意
负面,白的不自然
正面,价格便宜实惠
正面,速度佩服
负面,油
正面,很柔暖
正面,还OK
正面,新包装样式很喜欢
负面,客服敷衍了事
正面,物流速度很快
正面,很划算
正面,很漂亮
正面,包装完好
正面,很清爽
正面,挺温和的
负面,感觉不高
正面,喜欢
负面,味道有点太香
负面,不爽
正面,价格不算贵
正面,卖家不错
正面,粘稠
负面,没洗干净
正面,比较优惠
负面,包装太丑了
正面,礼品很好
负面,不是那么水润
正面,挺不错的
正面,薄点
负面,有些失望
正面,白的自然
正面,快递小哥态度很好
正面,活动挺优惠的
正面,去除暗沉
正面,盖子松的
正面,超级服帖
正面,白白的
正面,挺服帖的
正面,非常喜欢
正面,没过敏
正面,美白作用
负面,不滋润
正面,活动便宜
正面,上妆贴合皮肤
正面,不会过敏
正面,容易打开
正面,送货速度超快
中性,泡沫丰富度一般
正面,超级满意
正面,物流太给力
正面,价格对的起
正面,很贴合肤色
正面,快递太给力了
正面,质优价廉
负面,不是很干净
正面,非常滋润
正面,挺清爽的
正面,上档次
负面,精华太少
正面,白
正面,温和不刺激
负面,泡沫很少
正面,遮瑕效果好
正面,挺湿润
负面,香味不太喜欢
正面,物流很给力
正面,真喜欢
负面,会起脂肪粒
正面,很好涂开
负面,透气性很一般
中性,比较干
正面,物流速度有点慢
正面,清香味淡淡的
正面,便宜很多
正面,可遮瑕
正面,还行
负面,保质期不足四年
负面,包装太随便了
负面,包装不好
中性,补水
中性,控油效果
正面,非常的服帖
正面,配送很快
负面,有点痒
正面,细致
正面,美白效果不错
正面,光洁
正面,好看
正面,确实很好
正面,新包装特别喜欢
正面,量很足
正面,包装没有损坏
正面,不跑妆
正面,柔软
正面,妥妥的
负面,盒子都没有
正面,保湿很不错
正面,态度非常好
负面,不值
负面,真的很一般
正面,很接近肤色
正面,面膜纸服帖
负面,持久度不好
正面,便宜不少
正面,味道比较喜欢
正面,客服服务很好
正面,成膜快
正面,补水效果还可以
正面,服务棒
正面,保湿效果还行
正面,亮肤
正面,比较满意
正面,物流速度
正面,能修复皮肤
正面,很平整
正面,非常速度
正面,保湿照顾还不错
正面,隔离效果挺不错
正面,遮暇还可以
负面,赠品没
正面,补水很好
正面,清凉
正面,特别水嫩
正面,物流神速
正面,很好吸收
正面,定妆效果很好
负面,优惠力度
正面,增品没收到
负面,气味刺鼻
正面,挺润的
正面,补补水
正面,绝对正品
正面,肤色很亮
正面,物流服务好
正面,包装好看
负面,稍微过敏
负面,不怎么补水
负面,太不好
正面,很白
负面,太失望了
正面,超神速
正面,包装很大气
正面,温和性的
正面,挺快
正面,效果挺好的
负面,味道不是很喜欢
中性,好用
正面,瓶子很漂亮
正面,特划算
正面,气味蛮好
正面,清洁力跟强
正面,发货物流超快
正面,好干
正面,是真东西
正面,包装完好无损
正面,持妆效果不错
正面,很薄
正面,味道蛮好闻
正面,实用
负面,客服真的忙
正面,用着很好
正面,一般
正面,超级补水
正面,活动超划算
正面,盒子颜值很高
正面,很清爽舒服
正面,效果很好
正面,超出预期
正面,好很多
正面,物流速度特别快
正面,挺遮瑕
负面,有点卡粉
正面,肤色好好
正面,价格美丽
正面,补水效果明显
中性,还可以
正面,好服帖
正面,物有所值
正面,洁面很干净
正面,遮瑕效果超好
正面,快递点赞
负面,客服没有人理会
正面,补水效果很好
负面,有点发干
正面,大气上档次
正面,没让人失望
正面,好合算
正面,大爱呀
正面,卸妆无负担
正面,很柔滑
正面,价格有优势
正面,蛮不错
正面,外壳好看
正面,价格不贵
正面,均匀
正面,快递好
正面,清洁效果好
负面,客服回复太慢
负面,好小
负面,失望
正面,商家服务好
负面,不开心
正面,不是那么白
正面,包装还不错
正面,水润润的
正面,真的好
负面,保质期太短
正面,补水很好用
正面,活动便宜实惠
正面,物流特别快
中性,效果还不知道
正面,提亮肤色是真
正面,服务态度很好
负面,包装够随意
中性,味道淡淡的
正面,持久情况
中性,效果没什么突出的
中性,希望满意
正面,特别水润
正面,贴合很好
正面,清洁能力好
负面,有些粘腻
正面,超满意
正面,气味淡淡的
正面,浮粉现象不会有
负面,美白效果不是太明显
正面,还挺多的
正面,应该不错的
正面,持久度还行
负面,不是很好
正面,挺补水的
正面,清洗的效果不是很好
正面,保湿效果挺可以
正面,味道闻着不错
正面,挺喜欢用的
正面,快递很快
正面,很棒了
正面,价钱不贵
负面,很不开森
正面,活动价很实惠
正面,很高兴
正面,清洗很干净
正面,皮肤亮亮的
正面,设计喜欢
正面,小礼品
正面,物流很快的
正面,很贴肤
负面,干死了
正面,价格很合理
负面,挺干燥的
中性,好评
负面,差
正面,便宜
负面,清洁能力弱
正面,速度
正面,送货非常好
正面,快递小哥
正面,气味优雅
正面,泡沫很丰富
正面,快递真的很快
正面,物流快
正面,控油效果还行
正面,清洁度还不错
正面,颜色挺合适
正面,很轻薄
负面,酒精味很明显
正面,水水润润
正面,真的很好
正面,非常划算
正面,客服热心
正面,最喜欢的
正面,赞一个
正面,包装很严实
负面,卸不掉
正面,发货快
中性,美白效果
正面,卸妆效果很好
正面,还保湿
正面,补水多了
正面,性价非常好
负面,味道不好闻
正面,爽
正面,防晒不错
正面,发货速度非常快
负面,很气人
负面,比较干
正面,特别温和
正面,特别好用
负面,包装太次
正面,颜色喜欢
正面,包装挺不错
正面,赠品到位
正面,有提亮的效果
正面,提亮偏黄的肤色
正面,好喜欢
正面,遮黄气暗沉
正面,好帖
正面,值得信赖
正面,经济
负面,搓泥了
正面,不黏糊糊
正面,快递的速度最喜欢
正面,非常棒
正面,良好
正面,很方便
正面,不泛白
正面,价位很给力
负面,漏水
正面,洗干净
正面,易吸收
负面,很容易掉粉
正面,较温和
正面,补水棒棒的
正面,巨好用
负面,遮不住什么
中性,防晒效果
正面,修饰肤色比较自然
正面,客服
正面,快递真的不错
正面,比较合适
正面,还可以吧
负面,浮了
正面,防晒还算可以
正面,很给力
正面,味道还可以
负面,一点不好用
正面,不蜕皮
正面,速度值得点赞
正面,快递服务不错
正面,大小刚好
正面,有点油
正面,颜色正好
正面,体亮自然
正面,味道不浓重
正面,满喜欢的
负面,商家不解决
正面,收货迅速
正面,颜色粉粉的
正面,卸妆干净
负面,起皮
正面,按压设计很有新意
正面,活动挺便宜
正面,效果非常棒
正面,卸妆效果很一般
正面,薄
正面,很很用的
正面,物流有点慢
负面,保质期比较近
正面,很开心
中性,还行
负面,贵
中性,很舒服
正面,快递专业
正面,快递员很好
正面,补水很适合
正面,上妆比较滋润
正面,包装很细心
