Polarities,AspectTerms,OpinionTerms
正面,,好推开
正面,收货,迅速
负面,,降价
正面,清洗的效果,不是很好
正面,,白
正面,,还OK
正面,,挺干净的
正面,,还挺好的
负面,,过敏了
正面,,没有什么不良反应
负面,,贵了
正面,,容易清洁
正面,,很实惠
正面,,听湿润
负面,涨价,太多了
正面,遮暇,还可以
正面,,没有过敏不适
正面,发货速度,非常快
负面,,挺干的
负面,酒精味,浓浓的
正面,卸妆,无负担
负面,,很不开森
正面,,不会觉得紧绷
正面,,不跑妆
中性,,好评
正面,快递,还可以
正面,活动价,
正面,,容易打开
正面,,非常不错
正面,发货速度,挺快的
正面,,大爱
正面,,很是划算
正面,卸妆,干净
正面,补水效果,好
正面,价格,优惠
正面,,白了一个度
正面,效果,不错的
正面,价位,非常合适
正面,物流速度,特别快
正面,快递小哥,送货到家
中性,妆感,比较厚重
正面,,没有破损
正面,延展性,很好
正面,物流,没得说
负面,美白,没有感觉
中性,控油效果,一般
正面,上妆,比较滋润
正面,,用着很好
中性,,没有多大效果
正面,,一直都用
正面,,还行吧
正面,,优惠多多
负面,保质期,比较近
正面,,便宜多了
正面,物流,杠杠的
负面,商家态度,极差
正面,锁水效果,很好
中性,美白效果,没看出来
正面,,补水多了
正面,,好吸收
正面,发货,超快
正面,,挺好的
中性,泡沫,不多
负面,,太假了
正面,味道,好
负面,,挺小的
正面,,完美
正面,配送服务,一流的
正面,,蛮多的
正面,,特别薄
正面,物流,快
正面,活动价,超好
正面,,不会刺痛
正面,,不是特别显白
正面,价格,超级优惠
正面,,保湿
正面,,最喜欢
正面,物流,出奇的快
正面,补水效果,还可以
正面,盖子,松的
正面,活动,很合适
正面,,肤色很亮
正面,包装,真心不错
正面,,应该不错
正面,持久情况,
正面,物流,真是神速
正面,隔离效果,好
正面,提亮,不错
正面,,易吸收
正面,,显得皮肤很白
正面,价钱,不贵
负面,,浮了
正面,,很好吸收
负面,,不好用
正面,补水效果,挺好的
负面,,酸酸的
负面,,最垃圾
正面,,白嫩
正面,,不是那么白
正面,售后,不错
正面,,上乘
正面,卸妆效果,很好
正面,发货,很快
正面,,不刺激
正面,,浮粉
正面,推开,不错
正面,价格,便宜
正面,活动,不错
负面,,有点假白
正面,卸妆效果,特好
正面,,还不错的
正面,物流配送中心,很快
正面,,修饰肤色
负面,味道,有点太香
正面,,非常温和
正面,,有点油
负面,精华,太少
负面,,有点紧绷
正面,包装,比较好
正面,,最好用
正面,泡沫,很丰富
正面,,挺适合
负面,,太干
负面,,小小
负面,成膜,有点慢
正面,活动,最实惠
负面,商家,不解决
负面,,会掉粉
正面,隔离效果,很不错
正面,,更优惠
负面,粉质,不是很好
正面,,物有所值
正面,,洗干净
正面,,特别好
正面,活动,优惠
正面,活动,炒鸡划算
正面,持久度,挺ok的
正面,味道,很不错
正面,泡沫,丰富
正面,,不怎么油腻
正面,,还挺多的
负面,遮瑕效果,不好
正面,,不是特别白
中性,遮瑕效果,一般
正面,,点赞
正面,清洁能力,好
正面,,好便宜
正面,,喜欢
负面,,一般
正面,,很湿润
中性,,一般般
负面,,比较油腻
正面,,真的很不错
正面,商家,一百个赞
正面,,不贵
正面,补水,好
正面,,很滑嫩
负面,贴合度,不是特别好
中性,,白了一点点
正面,保湿,
正面,物流,真不错
正面,,挺超值的
正面,商家,不错
正面,遮瑕,四星
正面,效果,非常棒
正面,,挺润的
负面,泡沫,很少
正面,,比较满意
正面,保温效果,挺好的
正面,速度,
正面,,非常喜欢
正面,,挺滋润补水的
正面,提亮效果,不错
正面,物流,特别特别给力
正面,价格,便宜实惠
正面,,水水润润的
中性,,是不是正品
正面,,实用
正面,控油效果,不错
中性,美白,尚不明显
负面,,很干
负面,粉液,一般般
正面,,便宜实惠
正面,包装,很细心
正面,,很划算
正面,物流,非常强
负面,,干巴巴
正面,防晒,还算可以
正面,,比较好
正面,定妆效果,很好
正面,,应该是真的
正面,味道,挺好的
正面,,贴肤
正面,香味,
正面,水分,足
负面,包装,忒简单
负面,包装,太随便了
负面,味道,不是很好
正面,包装,好看
正面,活动,划算
负面,,有点黏
正面,,好得不得了
正面,,润泽
正面,速度,很快
正面,,清清爽爽的
正面,价格,平民价
正面,,清爽爽的
中性,,偏白
正面,,很提亮肤色
正面,,比较合适
正面,香味,淡淡的
正面,,挺实惠
正面,快递速度,真不是盖的
正面,保湿度,很好
正面,包装,好
正面,,好喜欢
正面,客服,
正面,物流,超级速度
正面,性价,非常好
正面,服务态度,很好
正面,,更好
正面,遮瑕效果,超好
正面,,特别自然
正面,面膜纸,不厚
正面,补水效果,非常好
正面,保湿,很好
正面,,更滋润
正面,,感觉不错
正面,,很好涂开
正面,,像正品
负面,,再便宜点
正面,清洗,很容易
