Polarities,new_text
正面,还可以吧就是这样啊，
正面,面膜挺好的，
正面,秒杀活动的时候买的好不好用我就不知道喽，
正面,精华很多，
正面,目前没有过敏
正面,非常的实惠，
正面,搞活动双十一买的很划算，
正面,太好了！
正面,价格实惠质量不错，
正面,必须5星好评呀！
正面,包装也非常好 
正面,还没用开始味道还好 
正面,非常喜欢呢！
正面,用后效果很不错，
正面,送货快服务态度好。
正面,这款面膜我一直再用挺好的值得购买
负面,味道也不是很好 
正面,物流服务好，
负面,感觉有点连连的，
负面,美白效果不是太明显，
负面,肤色都不正，
正面,趁着还有活动，
负面,好小啊！
正面,挺不错的。
正面,外观也很好看啊
正面,上妆比较滋润，
正面,活动价69元两盒入手，
正面,送货速度快好好好好好
正面,真的很不错，
正面,这次洁面买一送一划算就囤了，
正面,还挺好用的
正面,超值，
中性,美白效果等用完两瓶再看
正面,一直在用真的很不错的，
正面,其他的都很好
正面,客服态度也很好！
正面,很柔暖，
正面,味道跟以前也一样，
正面,东西非常好！
负面,拆开后是坏的，
正面,隔离效果挺不错的，
正面,感觉墨角澡面膜面膜比较好用。
正面,防晒效果不错
正面,很薄，
正面,按压式用起来方便，
正面,洗后不紧绷
正面,给个好评???
正面,很方便
正面,"挺好用,下次还会在来"
正面,乳液也很适合我，
正面,好好好
正面,特别好 
正面,很快收到不错！
正面,不油，
正面,价格也合适
正面,保湿效果棒棒哒，
正面,补水美白，
正面,哑光质感，
负面,上当了。
正面,真的挺不错的，
正面,营养液很充足，
正面,保湿不油腻，
负面,但是唯一的效果就是不怎么白，
正面,吸收情况：吸收挺好的 
正面,不错好帖
正面,还有好多赠品，
正面,这个东西非常好，
正面,先给好评吧，
正面,皮肤滑滑的。
正面,超级满意
正面,棒棒的。
正面,价格也便宜。
正面,还可以噢。
正面,做活动买的还挺划算的，
正面,面膜滋润，
正面,这款乳液个人觉得挺好的，
正面,应该挺好的～ 
正面,效果挺好
正面,用起来也特别服帖自然，
正面,好
正面,效果比以前更好了
负面,申通快递走了一周多&hellip
正面,比较满意。
正面,宝贝收到了真的是很划算，
正面,面膜用着不错，
正面,效果不错的～
正面,比较清爽，
正面,还买一送一很实惠 
正面,还可以吧！
正面,一直都用这牌子的东西真的很好用
正面,物流速度也快，
正面,物流也快！
中性,试用了一下就是有点黏黏的不知道是不是正品。
正面,洗好以后脸也不会紧绷 
正面,非常好的商品，
正面,很满意 
负面,也没有盒子感觉好假好假。
正面,送货快，
正面,经济实惠的。
正面,特别快，
正面,有一点淡淡的香味，
正面,滑滑的，
正面,一贯好评，
正面,挺舒服的
正面,补水可以就是味道太香了，
中性,酒精味跟碧柔一样那么重，
正面,用着很不错，
正面,不干还好吸收，
正面,卸妆效果特好！
正面,满分满分，
正面,包装也很细心，
正面,很熟服，
正面,不过看着挺不错的，
正面,肤感还可以。
正面,很不错包装也很好
正面,东西非常满意，
正面,**上快递真的不错
正面,挺润的，
正面,好评哈
正面,用了之后感觉变白了呀！
正面,质量还可以，
正面,很不错哦，
正面,**的服务跟物流棒棒哒
正面,面膜好用补水，
负面,好嫌弃这包装
正面,用后脸不会觉得紧绷非常温和的一款一直都用扇风便宜又实惠
正面,整体不错 
正面,不错，
正面,持久情况：上妆后很持久，
正面,精华也蛮多，
正面,送货快 
正面,好卸妆，
正面,面膜可以 
正面,很干净。
正面,按压也很方便
正面,便宜了不少呢，
正面,精华液挺多多的值得购买哦
正面,我一直用这个很好
正面,满意满意
正面,这款洁面乳很好用 
正面,商品好，
正面,非常不错哦，
正面,很清爽很好推开 
正面,好上妆
正面,有种淡淡的清香，
正面,感觉美美哒
正面,遮瑕效果很好，
正面,买一送一很划算，
正面,买一送一的时候买的、好幸运、超级划算
正面,不过产品很好用，
正面,物流也很快。
正面,感觉不错 
正面,还可以！
正面,可以维持一整天?喜欢?
中性,美白尚不明显
正面,而且是**快递小哥亲自送到家门口来的，
正面,**发货超快，
正面,赞，
正面,好香，
正面,物流很快啊我都用上了
正面,精华液也挺多的，
正面,补水效果不错呦。
正面,心情美美的。
正面,用着挺不错的
正面,不过到的也挺快
正面,而且不伤皮肤，
正面,第1次用***的气垫真的不错。
正面,香香的味道
正面,很不错的一款哟
正面,持久情况：还可以，
正面,每次赠送的小礼品也很多！
正面,遮瑕提亮效果不错，
负面,面膜真的好差，
正面,包装也好，
中性,一般，
负面,皮肤早上起来都是很干的，
正面,宝贝很快就收到了。
正面,一如既往的好用，
正面,这次买的是最好用的一次！
正面,卸妆还不错?赠品也是一样的还有卸妆棉?
正面,清香型，
正面,给全五分好评，
正面,看有活动秒下单?
正面,她说用着挺好的
正面,网上价格低一点，
中性,稍微白了一点点 
负面,这包装也太&hellip
负面,一点都没有遮暇效果，
正面,很好的卖家，
负面,太假了，
正面,一天一张脸水水嫩嫩的
正面,粉扑设计的非常棒，
正面,还便宜，
负面,不是很遮瑕，
正面,持久度也还行吧，
正面,挺好用，
正面,值得购买好评，
正面,细腻滋润 
正面,送了赠品 
正面,好评先
正面,商品收到非常不错，
中性,一个大大的快递盒，
正面,量挺多的。
正面,很喜欢。
正面,清澈
负面,该商家卖的全是假货，
负面,就是太干
正面,干皮喜欢 
正面,还不错！
正面,东西很好就是有点啃爹我买了第二天就降价，
正面,保湿美白效果很好，
正面,比实体店性价比高很多 
负面,就是生产日期比较旧
正面,面膜很好吸收，
正面,而且很提亮肤色&hellip
正面,洗完后很补水。
正面,炒鸡棒棒！
正面,很喜欢这款卸妆水，
负面,就是太裸妆了。
正面,***的洗颜霜确实是比较赞的
负面,遮瑕是假 
正面,用过感觉挺补水的。
负面,不推荐使用
正面,涂上很自然很均匀，
正面,强力推荐的面膜，
正面,这隔离霜也挺流的
正面,用起来很舒服，
负面,这包装实在不行，
正面,**物流真不错，
正面,蛮好的
正面,还很香
正面,可戴包装还是完好无损！
正面,便宜优惠
负面,感觉不是正品
正面,很好，
正面,点赞！
正面,点赞
正面,很不错的一款洗面奶买一赠一，
正面,不错?????????????????????????????
正面,物流很给力哦！
正面,买了好多**特别给力给快递五分
正面,面膜还行，
正面,礼品很好哦
正面,给快递小哥点赞。
正面,味道很好，
中性,东西一般，
正面,还有淡淡的香味。
正面,赠品到位。
正面,我用了没有过敏，
正面,好用的不要不要的，
正面,上妆效果：还可以，
正面,快递很给力
正面,不卡粉。
正面,好评吧！
正面,活动买很划算的，
正面,很好喜欢
正面,现在有活动，
正面,超赞！
正面,也很好推开，
正面,香味特别喜欢。
正面,一个两个替换装喜欢
正面,容易抹开，
正面,买一送一很划算。
正面,包装很好
正面,***的化妆品还是不错的，
负面,很不开森，
正面,质量很好是正品，
正面,比我想象的要好一点，
正面,也很修复的，
正面,给商家还有快递小哥一百个赞
正面,面膜不错哦，
正面,不刺激
正面,效果很好。
正面,不腻也不干
正面,给老婆买的!老婆说效果很好!
正面,超级实惠。
负面,真心不好用，
正面,味道淡淡的，
正面,****物流速度快，
正面,很喜欢用这款面膜，
正面,面膜很好哦 
负面,用了几次感觉有点干
负面,感觉洗不净的样子，
正面,实惠，
正面,**送货超级快！
负面,我买的怎么不好用，
负面,不怎么样，
正面,当天晚上就用了很不错哦，
正面,价格也挺实惠，
正面,这个真的好用
负面,没有多少面膜液，
正面,送货速度快包装很好
中性,上脸会泛油光，
负面,第一次用的时候成膜有点慢 
负面,保湿不好，
正面,用着效果蛮好的，
正面,东西挺好的
正面,清洁效果：很干净。
正面,看产品还不错，
正面,快
正面,包装挺精致，
正面,感觉还是不错，
正面,**产品送货快，
正面,快递给力，
正面,也很补水而且用了二次后我鼻子??上长的痘痘有消下去，
正面,卸的也干净
正面,二线城市送货也很给力。
正面,快递人员服务态度也很好，
正面,有点小～但是很好用 
正面,不油、商品降价、活动 
负面,贵呀
正面,最主要是价格比较实惠
负面,卡粉，
正面,挺温和的
正面,太方便了用起来，
正面,真的很好，
正面,质量不错信赖**！
正面,宝贝很不错 
正面,发货很快呀。
负面,油
正面,很不错。
正面,还行吧 
正面,超级划算，
正面,***的面膜用着还挺不错的，
正面,给予好评?
正面,东西正经不错，
正面,不错的
正面,包装完整 
正面,挺好用的
正面,这个很实惠，
正面,比实体店便宜好多，
正面,很划算啊还没用
正面,性价比较高，
正面,非常满意，
正面,一点也不刺激，
负面,现在这个季节涨价太多了
正面,不错是正品值得购买！
正面,也不壳粉 
正面,"新包装的和玻璃瓶的都差不多感觉、一直用***的隔离霜,平价好用"
正面,感觉还不错
正面,还是很好的
正面,**物流很快呢。
正面,很实惠，
负面,就是没有礼盒包装，
正面,优惠活动时买的，
正面,卸的也挺干净，
正面,质地柔软均匀，
正面,洗过脸滑滑的
正面,货到的很快，
正面,而且还挺省
正面,价格实惠，
正面,这个效果一直棒棒，
正面,商品价格优惠！
正面,真的很好！
正面,性价比又高，
负面,保质期四年，
正面,补水想着 
正面,客服服务也很好??
正面,分量足，
正面,真的是太划算了，
正面,还是有活动的时候买最合适，
正面,美白隔离效果很好 
正面,感觉还行吧，
正面,棒棒哒，
负面,连盒子都没有
正面,还好吧，
正面,应该差不多，
正面,掉妆比较慢持妆效果不错
负面,也遮不住什么
负面,不好用不滋润
正面,喜欢！
正面,清洁能力也不错，
正面,量大耐用。
正面,看包装不错，
正面,个人感觉还不错，
负面,希望包装能好点
中性,抹在脸上微微有一点点白，
正面,妈妈说还不错，
正面,妆前隔离很好用啊，
正面,用后肤色很亮，
正面,满意 
正面,洗面奶很清爽，
正面,之前用的他们家赠品小样还可以，
正面,看着不错，
中性,不知道是不是正品 
正面,味道闻着不错，
正面,感觉挺好的 
正面,双11物流比较快，
正面,挺不错的好用
负面,看了这包装都没心情了，
正面,感觉卸妆挺干净，
中性,稍微有点油
正面,物流很快 
正面,很好用哦
正面,牌子本身挺不错的，
正面,很细腻
正面,很均匀
正面,价格也便宜！
正面,好好好好好
正面,这款卸妆水还可以，
正面,挺舒服，
正面,比我在店里买的其他二百的都好用。
正面,卸妆水很好闻！
正面,活动买的，
正面,瓶包装完美，
中性,虽然有一点点干。
正面,不错很喜欢这个牌子
正面,好用不卡粉，
正面,已扫码验过是正品??
负面,可能是不太适合我，
正面,面膜特别薄很服帖精华很多用完很保湿很不错。
正面,泡沫丰富、细腻，
正面,使用还可以，
正面,小哥服务态度好
正面,说很好
正面,一直用这个牌子、很贴皮肤
正面,很细腻，
正面,很柔滑补水效果很好，
负面,卸得不是很干净，
正面,好评。
正面,保湿效果不错，
正面,超满意，
正面,价格优惠，
正面,主要是便宜。
负面,东西收到了有点失望，
负面,101色号还不是很白，
正面,宝贝非常好用，
正面,挺好！
正面,很不错的一款气垫，
负面,酒精味道比较浓郁
正面,价格合适，
负面,包装太随便了吧连个包装盒都没有
正面,清理力也强，
正面,很好用的面膜，
正面,补水效果感觉还不错，
正面,上次买了水跟霜还蛮好用的是正品，
负面,就是包装有点简陋 
正面,这款包装比较好携带
正面,发来了3盒很划算哦而且效果不错，
正面,也不油哦
正面,这款面膜用着挺好的，
正面,大小合适。
正面,脸上比较滋润，
正面,包装很满意，
正面,**的物流速度令人敬佩，
正面,质优价廉，
正面,防晒力度感觉也还算可以
正面,感觉不错就推荐给大家了、好用
负面,垃圾东东白浪费运费卷
负面,就是包装也太差了吧，
正面,可以啊，
正面,送的挺不错的
正面,味道还可以
正面,这个隔离涂上不卡粉有提亮的效果，
正面,不错！
正面,小姑很喜欢用，
正面,好合算的，
正面,打开后宝贝也很漂亮，
正面,用起来还不错
正面,活动买的很合适，
正面,超好用，
正面,挺保湿的
正面,挺干净的，
负面,卸妆效果不好
正面,用着效果挺不错。
正面,控油情况还行
正面,透气。
正面,价格不高，
中性,清洁作用很一般了
正面,给个赞
负面,太失望了
正面,成膜速度非常快，
正面,颜色比较均匀，
正面,挺通透的
正面,不错的！
正面,感觉效果挺好的，
正面,送了赠品，
正面,质量也是杠杠滴，
正面,还算是不错的，
正面,能修复皮肤 
负面,烂东西，
正面,特别实惠这次买的！
正面,老婆很喜欢！
正面,挺好的质量不错，
正面,挺满意
负面,遮瑕不是太好
正面,小海狮和汐漫态度非常好哦
正面,超喜欢就是好 
正面,洗完之后脸不紧绷，
正面,味道可以，
正面,很滋润补水效果也不错，
正面,真的很喜欢，
正面,东西很不错！
正面,点名一下客服海流
负面,塑料味太浓了！
正面,超级喜欢 
负面,还痒，
正面,好多赠品，
正面,老妈用着感觉很好
正面,这次趁着活动买来试试跟之前的一样不。
正面,感谢做活动这么便宜，
正面,***这款隔离霜很好用，
正面,"还不错,在实体店看过了,**相对便宜很多,果断购买."
正面,挺不错的，
正面,价格便宜 
正面,提亮偏黄的肤色，
正面,物流也特别快
正面,卸妆效果非常好，
正面,"价格实惠,物流很快,一直信赖**"
正面,还可以挺好用的
正面,送了很多赠品 
正面,感觉很水润 
正面,前几天就收到了特别好用肤色偏黄的远紫色刚刚好
正面,清洁效果：不错。
正面,用着是很温和的一款卸妆水。
正面,质量不错哦，
正面,美美哒！
正面,收到货了物流特别快隔离特别好
负面,不吸收，
正面,水分超足 
正面,不错媳妇用着挺好的
正面,好的很，
正面,非常好用，
中性,滋润及保湿：挺滋润的
正面,补水效果很好，
正面,很清爽，
正面,颜色很正，
正面,还可以。
正面,打脸上浮粉，
正面,脸也不痒，
正面,我觉得还不错。
负面,敏感肌的我还过敏了
正面,润润的棒棒哒！
负面,有一瓶漏了
正面,包装看起来还挺不错，
中性,还行吧。
正面,就喜欢这样的感觉
正面,价格有优势，
正面,活动买的很划算哦
负面,就是保质期太短了，
正面,遮瑕效果很好。
正面,一直都用***面膜感觉还可以
正面,包装好，
正面,我很喜欢这个淡淡的香味，
正面,给赞！
正面,快递小哥也很给力，
正面,***的商品包装的非常好，
正面,属于温和性的，
正面,物有所值
中性,泡沫丰富度：一般。
正面,不够细腻，
正面,还不错的，
正面,真的很耐斯～
正面,感谢卖家送的礼物，
正面,物流给力，
负面,个人情况：干敏皮稍微过敏用了
正面,可以还是可以 
正面,快递师傅态度也很多，
正面,物超所值，
正面,这是第二次购买洗面奶很好用，
正面,很衬肤色，
正面,其他的都还好
负面,就是客服回复太慢了
正面,包装精致还没开始用呢～
正面,卖家服务态度非常好?，
正面,老婆很喜欢
负面,洗面奶很稀没有什么质感。
正面,好评！
正面,不干不紧绷 
正面,五星！
负面,有些油 
正面,超清爽的，
