id,AspectTerms,A_start,A_end,OpinionTerms,O_start,O_end,Categories,Polarities
1,_, , ,很好,0,2,整体,正面
1,_, , ,超值,3,5,价格,正面
1,_, , ,很好用,6,9,整体,正面
2,_, , ,很好,0,2,整体,正面
2,遮暇功能,3,7,差一些,7,10,功效,负面
2,_, , ,还不错,13,16,整体,正面
3,包装,0,2,太随便了,2,6,包装,负面
3,包装盒,9,12,没有,13,15,包装,负面
3,_, , ,很不好,20,23,整体,负面
4,_, , ,非常的不好,8,13,整体,负面
4,_, , ,垃圾,19,21,整体,负面
5,_, , ,很是划算,3,7,价格,正面
6,香味,14,16,淡淡的,11,14,气味,正面
6,_, , ,喜欢,17,19,整体,正面
7,_, , ,还不错,7,10,整体,正面
8,_, , ,很润,0,2,使用体验,正面
8,_, , ,好推开,4,7,使用体验,正面
8,_, , ,还可以,10,13,整体,正面
9,_, , ,很不错,11,14,整体,正面
10,_, , ,比较划算,7,11,价格,正面
10,_, , ,比较好用,13,17,整体,正面
11,_, , ,好用,0,2,整体,正面
11,_, , ,不油腻,2,5,使用体验,正面
11,_, , ,很清爽,5,8,使用体验,正面
12,_, , ,水润,2,4,整体,正面
12,_, , ,很值,14,16,价格,正面
13,物流,15,17,快,18,19,物流,正面
14,_, , ,很好的,0,3,整体,正面
14,_, , ,不错,28,30,整体,正面
15,上妆效果,0,4,容易上妆,5,9,功效,正面
15,持久情况,20,24,_, , ,功效,负面
15,_, , ,还不错,39,42,整体,正面
16,快递员,0,3,很好,3,5,物流,正面
16,_, , ,真实,40,42,功效,正面
16,_, , ,自然,38,40,功效,正面
16,_, , ,挺好用,34,37,整体,正面
17,_, , ,一般般,0,3,整体,中性
17,_, , ,还可以,4,7,整体,正面
17,价格,8,10,不算贵,10,13,价格,正面
18,小礼品,16,19,_, , ,价格,正面
18,_, , ,不错,9,11,整体,正面
18,快递小哥,26,30,_, , ,物流,正面
19,_, , ,很补水,17,20,功效,正面
20,_, , ,非常喜欢,4,8,整体,正面
21,_, , ,还不错,0,3,整体,正面
21,物流,5,7,很快,7,9,物流,正面
22,_, , ,赞,28,29,整体,正面
23,_, , ,比较方便,9,13,使用体验,正面
23,_, , ,还可以,2,5,整体,正面
24,物流,0,2,很快,2,4,物流,正面
24,_, , ,好,7,8,整体,正面
25,_, , ,太好用了,0,4,整体,正面
25,_, , ,大爱,12,14,整体,正面
25,味道,5,7,很好闻,8,11,气味,正面
26,优惠券,19,22,_, , ,价格,正面
26,_, , ,太合适,23,26,整体,正面
27,物流,4,6,特别快,6,9,物流,正面
27,隔离,9,11,特别好,11,14,功效,正面
28,_, , ,很好用,0,3,整体,正面
28,_, , ,物美价廉,19,23,价格,正面
29,_, , ,还好吧,2,5,整体,正面
29,味道,27,29,还好,29,31,气味,正面
29,_, , ,挺好用的,41,45,整体,正面
30,乳液,25,27,_, , ,成分,中性
30,_, , ,水水嫩嫩的,9,14,使用体验,正面
31,物流,0,2,好快,2,4,物流,正面
31,_, , ,挺好,21,23,整体,正面
32,发货,0,2,很快,2,4,物流,正面
32,活动,5,7,特别合算,12,16,价格,正面
32,贴合,20,22,很好,22,24,使用体验,正面
32,精华,25,27,蛮多,28,30,成分,正面
33,_, , ,还不错,0,3,整体,正面
34,_, , ,非常好,2,5,整体,正面
35,_, , ,挺好的,6,9,整体,正面
36,_, , ,很自然,10,13,功效,正面
36,_, , ,不油腻,15,18,使用体验,正面
36,_, , ,很清爽,19,22,使用体验,正面
37,_, , ,不错,0,2,整体,正面
37,_, , ,挺好的,3,6,整体,正面
