,id,ASP,OPI,A_start,O_start,text
0,1,_,很好,,0.0,很好，超值，很好用
1,1,_,超值,,3.0,很好，超值，很好用
2,1,_,很好用,,6.0,很好，超值，很好用
3,2,_,很好,,0.0,很好，遮暇功能差一些，总体还不错
4,2,遮暇功能,差一些,3.0,7.0,很好，遮暇功能差一些，总体还不错
5,2,_,还不错,,13.0,很好，遮暇功能差一些，总体还不错
6,3,包装,太随便了,0.0,2.0,包装太随便了，连个包装盒都没有，第一感觉很不好
7,3,包装盒,没有,9.0,13.0,包装太随便了，连个包装盒都没有，第一感觉很不好
8,3,_,很不好,,20.0,包装太随便了，连个包装盒都没有，第一感觉很不好
9,4,_,非常的不好,,8.0,宝贝收到了，产品非常的不好，简直就是个垃圾，我都扔了。
10,4,_,垃圾,,19.0,宝贝收到了，产品非常的不好，简直就是个垃圾，我都扔了。
11,5,活动,很是划算,0.0,3.0,活动价很是划算，买一送一共60片才花八十五块，天天用都不心疼啊
12,6,香味,淡淡的,14.0,11.0,使用一段时间才来评价，淡淡的香味，喜欢！
13,6,_,喜欢,,17.0,使用一段时间才来评价，淡淡的香味，喜欢！
14,7,_,还不错,,7.0,之前买过。用了还不错。继续回购
15,8,_,很润,,0.0,很润相对好推开。总体还可以。
16,8,_,好推开,,4.0,很润相对好推开。总体还可以。
17,8,_,还可以,,10.0,很润相对好推开。总体还可以。
18,9,_,很不错,,11.0,收到了，当天晚上就用了很不错哦，
19,10,活动,_,1.0,,做活动时买的，比较划算，也比较好用
20,10,_,比较划算,,7.0,做活动时买的，比较划算，也比较好用
21,10,_,比较好用,,13.0,做活动时买的，比较划算，也比较好用
22,11,_,好用,,0.0,好用不油腻很清爽
23,11,_,不油腻,,2.0,好用不油腻很清爽
24,11,_,很清爽,,5.0,好用不油腻很清爽
25,12,_,水润,,2.0,气垫水润，还送了一个替换装，很值
26,12,_,很值,,14.0,气垫水润，还送了一个替换装，很值
27,13,物流,快,15.0,18.0,一直在**买东西，质量值得信赖物流还快，以后还会继续关注的。
28,14,_,很好,,0.0,很好的，以前用别的品牌这个品牌以前用的日霜不错这个也应该不错。
29,14,_,不错,,28.0,很好的，以前用别的品牌这个品牌以前用的日霜不错这个也应该不错。
30,15,上妆效果,容易上妆,0.0,5.0,上妆效果：容易上妆 个人情况：油性皮肤 持久情况：下午好像有点出油 整体描述：还不错 适合肤质：油性肤质
31,15,持久情况,_,20.0,,上妆效果：容易上妆 个人情况：油性皮肤 持久情况：下午好像有点出油 整体描述：还不错 适合肤质：油性肤质
32,15,_,还不错,,39.0,上妆效果：容易上妆 个人情况：油性皮肤 持久情况：下午好像有点出油 整体描述：还不错 适合肤质：油性肤质
33,16,快递员,很好,0.0,3.0,快递员很好，我当时没在家，给放到物业了，提醒我说，是一个小盒！用着也挺好用，自然真实！
34,16,_,挺好用,,34.0,快递员很好，我当时没在家，给放到物业了，提醒我说，是一个小盒！用着也挺好用，自然真实！
35,16,_,自然,,38.0,快递员很好，我当时没在家，给放到物业了，提醒我说，是一个小盒！用着也挺好用，自然真实！
36,16,_,真实,,40.0,快递员很好，我当时没在家，给放到物业了，提醒我说，是一个小盒！用着也挺好用，自然真实！
37,17,_,一般般,,0.0,一般般，还可以，价格不算贵！用起来一般般啦
38,17,_,还可以,,4.0,一般般，还可以，价格不算贵！用起来一般般啦
39,17,价格,不算贵,8.0,10.0,一般般，还可以，价格不算贵！用起来一般般啦
40,18,_,不错,,9.0,一直在用，感觉还是不错，这次还有小礼品，谢谢啦！还有快递小哥，今天下了雪如期送达，感谢！
41,18,小礼品,_,16.0,,一直在用，感觉还是不错，这次还有小礼品，谢谢啦！还有快递小哥，今天下了雪如期送达，感谢！
42,18,快递小哥,_,26.0,,一直在用，感觉还是不错，这次还有小礼品，谢谢啦！还有快递小哥，今天下了雪如期送达，感谢！
43,19,_,很补水,,17.0,一直买在**买一个牌子的面膜，真的很补水，用完还来
44,20,_,非常喜欢,,4.0,宝贝收到非常喜欢
45,21,_,还不错,,0.0,还不错  物流很快 用了再追评使用感受
46,21,物流,很快,5.0,7.0,还不错  物流很快 用了再追评使用感受
47,22,_,赞,,28.0,满满一箱，上百片面膜可以用很久了，发货收到的比下单的多！赞?
48,23,_,还可以,,2.0,用着还可以主要按压比较方便不用倒出来那种
49,23,_,比较方便,,9.0,用着还可以主要按压比较方便不用倒出来那种
50,24,物流,很快,0.0,2.0,物流很快，商品好。支持**。
51,24,_,好,,7.0,物流很快，商品好。支持**。
52,25,_,太好用了,,0.0,太好用了，味道也很好闻，大爱！
53,25,味道,很好闻,5.0,8.0,太好用了，味道也很好闻，大爱！
54,25,_,大爱,,12.0,太好用了，味道也很好闻，大爱！
55,26,优惠券,_,19.0,,和实体店买的一样，还送有一个面膜，用了优惠券，太合适了
56,26,_,太合适,,23.0,和实体店买的一样，还送有一个面膜，用了优惠券，太合适了
57,27,物流,特别快,4.0,6.0,收到货了物流特别快隔离特别好
58,27,隔离,特别好,9.0,11.0,收到货了物流特别快隔离特别好
59,28,_,很好用,,0.0,很好用，一直都买这个牌子的，无限回购，物美价廉，持续囤货中。
60,28,_,物美价廉,,19.0,很好用，一直都买这个牌子的，无限回购，物美价廉，持续囤货中。
61,29,_,还好,,2.0,感觉还好吧，第一次用隔离，一开始操作失误出现点小问题，味道还好，送了卸妆水和面膜都挺好用的
62,29,味道,还好,27.0,29.0,感觉还好吧，第一次用隔离，一开始操作失误出现点小问题，味道还好，送了卸妆水和面膜都挺好用的
63,29,_,挺好用的,,41.0,感觉还好吧，第一次用隔离，一开始操作失误出现点小问题，味道还好，送了卸妆水和面膜都挺好用的
64,30,_,水水嫩嫩的,,9.0,已经用了7张，感觉水水嫩嫩的，不过在使用时，每包的乳液有不同，有的多，有的少，总之，效果OK
65,30,乳液,_,25.0,,已经用了7张，感觉水水嫩嫩的，不过在使用时，每包的乳液有不同，有的多，有的少，总之，效果OK
66,31,物流,好快,0.0,2.0,物流好快昨天下的单今天就到了，第一次用感觉挺好的！
67,31,_,挺好的,,21.0,物流好快昨天下的单今天就到了，第一次用感觉挺好的！
68,32,发货,很快,0.0,2.0,发货很快，活动期间买的，特别合算，面膜纸贴合很好，精华也蛮多，可以用好久了
69,32,活动,_,5.0,,发货很快，活动期间买的，特别合算，面膜纸贴合很好，精华也蛮多，可以用好久了
70,32,_,特别合算,,12.0,发货很快，活动期间买的，特别合算，面膜纸贴合很好，精华也蛮多，可以用好久了
71,32,纸,_,19.0,,发货很快，活动期间买的，特别合算，面膜纸贴合很好，精华也蛮多，可以用好久了
72,32,贴合,很好,20.0,22.0,发货很快，活动期间买的，特别合算，面膜纸贴合很好，精华也蛮多，可以用好久了
73,32,精华,蛮多,25.0,28.0,发货很快，活动期间买的，特别合算，面膜纸贴合很好，精华也蛮多，可以用好久了
74,33,_,还不错,,0.0,还不错还不错
75,34,_,非常好,,2.0,产品非常好，值得购买，质量过硬
76,34,_,过硬,,13.0,产品非常好，值得购买，质量过硬
77,35,_,挺好的,,6.0,不错媳妇用着挺好的
78,36,_,很自然,,10.0,已经是第三瓶了，用了很自然，也不油腻，很清爽，下次还继续
79,36,_,不油腻,,15.0,已经是第三瓶了，用了很自然，也不油腻，很清爽，下次还继续
80,36,_,很清爽,,19.0,已经是第三瓶了，用了很自然，也不油腻，很清爽，下次还继续
81,37,_,不错,,0.0,不错，挺好的，挺满意的，服务也非常好，很喜欢在**买东西。
